,text,sentiment,numaric_presentatin_of_sentiment
2647,australia’s vaccine approval astrazeneca pfizerbiontech and now moderna remember frontline workers and the v… ,Positive,2
2648,we are so grateful to all our frontline staff commhealthmw amp hselive   nessa merrigan received her first… ,Positive,2
2649,dad got the  part of his pfizer covid vaccine today just in case youre wondering hes had no adverse reaction… ,Negative,0
2650,its going to be like gryffindor slytherin hufflepuff houses isnt it what are you oh im so an astrazeneca … ,Positive,2
2651,now that is leadership from netanyahu lets be honest we dont have leaders of this calibre in the uk at the mo… ,Positive,2
2652,welcome to vaccine uk your health is important to us please continue to hold  you are  in the queue… ,Positive,2
2653,pfizerbiontech moderna and astrazeneca vaccines could be rolled out early next year we asked experts to explain… ,Neutral,1
2654,pfizerbiontech vaccine appears resistant to new covid variant study finds as us records deadliest day… ,Neutral,1
2655,early data from pfizerbiontech shows its vaccine appears to work against certain  variants ,Positive,2
2656,very grateful for the opportunity to receive my first dose of the pfizerbiontech vaccine this morning at… ,Positive,2
2657,pfizerbiontech covidvaccine dose  update   hours in arm soreness was worse than first dose  hours post i… ,Negative,0
2658,on  borisjohnson made the decision to delay the  pfizerbiontech dose in the uk in the effort to get mo… ,Negative,0
2659,update on vaccine arm bonus of waiting longer for  jab my deadheavy arm might have recovered in time… ,Positive,2
2660, no and nor should humanity pfizerbiontech modernavaccine savehumanity,Negative,0
2661,uhd covid vaccine done  fast efficient service from the vaccine team bournemouth site thank you so grateful vaccine pfizerbiontech,Positive,2
2662,market and stocks in news sensex nifty it cement stocksinnews markets bse nse… ,Positive,2
2663,novax is the new “rottiinculo”   moderna vaccini vaccinocovid vaccination… ,Neutral,1
2664,dmodoscutter sarahamandes  parentsutd ukactionteam sadiqkhan seems like govt are putting the two… ,Positive,2
2665,drsimonhodes drphilhammond nikkikf trishgreenhalgh annitamcveigh pfizerbiontech anecdotally all our staff w… ,Neutral,1
2666,“imports of us and british vaccines into the country are banned i have told this to officials and im saying it… ,Negative,0
2667,science rules it’s been a long year but the light is at the end of the tunnel keep washing those hands and wearin… ,Neutral,1
2668,history in making thanks everyone who made it possible starting from scientists in pfizerbiontech down to the lo… ,Positive,2
2669, pfizerbiontech covidvaccine received this morning  needless to say ill still be making sure i foll… ,Negative,0
2670,vaccines overview eucommission of the two vaccines currently authorised  that’s  million doses to be rolled o… ,Neutral,1
2671,we see a situation where travellers will be required to have been vaccinated by certain vaccines approved in certai… ,Positive,2
2672,update on my covid pfizerbiontech vaccine given yesterday hullhospitals  my arm is very slightly sore but n… ,Negative,0
2673,trust science amp scientists i believe this first dose will protect me enough as long as i continue adhering to the… ,Positive,2
2674,bahrain has the  highest number of  doses administered per  people  the kingdom launched… ,Positive,2
2675,beware of the nuts advising on vaccinations – they could be hazardous to the health of the nation… ,Negative,0
2676,so pfizerbiontech vaccine is effective against the south african variant of  is astrazeneca’s vaccine eff… ,Positive,2
2677,the government is rapidly expanding our covidvaccination programme to ensure everyone is protected with nearly … ,Positive,2
2678,gmb kategarraway give the same stanley johnson vaccine service to all vulnerable groups now biontech pfizerbiontech,Negative,0
2679, feeling blessed and grateful to be eligible for the pfizerbiontech vaccine protecting my family frien… ,Positive,2
2680,eu doubles covid vaccine deal with pfizer to  million doses  europeanunion eu pfizerbiontech ,Neutral,1
2681,the european commission proposes to eu member countries to buy an additional  million doses of covi̇d vacci… ,Neutral,1
2682,pfizer study suggests vaccine works against virus variant pfizerbiontech  ,Neutral,1
2683,mum after her first jab staff and medics were absolutely wonderful to the scientists and all the volunteers in t… ,Positive,2
2684,remember the commission has acted as an investor here bankrolling pharmas to build capacity we wouldn’t have… ,Neutral,1
2685,just remember this when choosing your coronavirus vaccine oxfordastrazeneca or pfizerbiontech… ,Neutral,1
2686,  mo of those additional doses will be delivered starting as from  quarter of   the other ones should… ,Neutral,1
2687,i just got vaccinates flattenthecurve  vaccinationcovid pfizerbiontech emeunet ,Neutral,1
2688,european commission proposed to eu member states to purchase an additional  million doses of the  vaccine… ,Neutral,1
2689,my grandmother was lucky to be one of the first in the world to receive the pfizerbiontech vaccine and managed t… ,Positive,2
2690,breaking europe has doubled its deal with pfizerbiontech giving it access to  million doses of the vaccine… ,Positive,2
2691,pfizerbiontechs  vaccine appeared to work against a key mutation in the highly transmissible new variant… ,Neutral,1
2692,keirstarmer agreed but  the johnson government are headed for another major error  week inter… ,Negative,0
2693,nstnation khairykj said the public must be sufficiently briefed on the  vaccine and the immunisation pro… ,Neutral,1
2694,opinion john p moore how do you take your vaccine—one lump or two  bmjlatest ,Neutral,1
2695,opinion covid vaccines to delay or not to delay second doses  bmjlatest … ,Negative,0
2696,adamfleming watch this is it shows you the process of drawing up the vaccine and how delicate… ,Neutral,1
2697,covid vaccination what’s the evidence for extending the dosing interval  bmjlatest ,Neutral,1
2698,look like the pfizerbiontech  works against the newstrainofcoronavirus here is the study on… ,Positive,2
2699,india coronavirus death toll reaches  india coronaviruspandemic astrazeneca pfizerbiontech … ,Negative,0
2700,pfizer study suggests vaccine works against virus variant pfizerbiontech  ,Neutral,1
2701,pfizer’s coronavirus vaccine protects against new variants found in uk south africa study pfizerbiontech… ,Positive,2
2702,pfizerbiontech vaccine appears effective against mutation in new coronavirus variants … ,Positive,2
2703,pfizer says covid vaccine appears to work against key mutation in variants first found in the uk and south afric… ,Neutral,1
2704,pfizerbiontech vaccine appears effective against mutation in new coronavirus variants study  reuters… ,Positive,2
2705,pfizerbiontech  vaccine appeared to work against a key mutation in the highly transmissible new variants… ,Neutral,1
2706,pfizerbiontech us drugmaker conducts study says pfizerbiontech vaccines appear effective against new mutation … ,Positive,2
2707,covid vaccine update pfizerbiontech covid vaccine effective against uk variant study finds ,Positive,2
2708,pfizerbiontech vaccine could be effective against the new mutant strain of covid coronavirusstrain… ,Positive,2
2709,pfizerbiontech vaccine appears effective against mutation in new coronavirus variants study ,Positive,2
2710,covid pfizerbiontech s  appeared to work against a key mutation in the highly transmissible new v… ,Neutral,1
2711,got my booster zab  pfizerbiontech mask up staysafestayhealthy ,Neutral,1
2712,pfizerbiontech vaccine appears effective against mutation in new coronavirus variants study pfizer… ,Positive,2
2713, pfizer says its coronavirus vaccine appears to work against new strand discovered in the united kingdom… ,Positive,2
2714,such a momentputting this here w thanks to those who have posted already for advocating so strongly for this vacc… ,Positive,2
2715,just in pfizer says its  vaccine appears to work against mutation found in uk southafrica virus… ,Neutral,1
2716,just in pfizer says its  vaccine appears to work against mutation found in uk southafrica virus… ,Neutral,1
2717, vaccine update  honored to be part of the sickkidstoronto family and proud health frontlineworker… ,Positive,2
2718,opinion john p moore how do you take your vaccine—one lump or two  bmjlatest ,Neutral,1
2719,ontario’s vaccination sites have made great progress to get vaccines into the arms of our health care heroes and se… ,Positive,2
2720,i spoke too soonhere i am  hours after receiving the  dose of the pfizerbiontech covidvaccine and my arm… ,Neutral,1
2721,so basically  post pfizer covid vaccine neck glands are swollen and weirdly tired but arm hurts less than flu… ,Negative,0
2722,second dose of the pfizerbiontech covidvaccine yesterday definitely having more reactogenicity with this one and… ,Positive,2
2723,dose  is in my arm get yours when you can   ibelievescience rollupyoursleeve… ,Neutral,1
2724,opinion covid vaccines to delay or not to delay second doses  bmjlatest … ,Negative,0
2725,covid vaccination what’s the evidence for extending the dosing interval  bmjlatest ,Neutral,1
2726,i am due my  dose of pfizerbiontech this monday and i am working throughout the week how am i going to manage… ,Neutral,1
2727,courteous checking by pfizer pfizerbiontech modernatx bdabup gracious and critical over our below discovery… ,Positive,2
2728,fully vaccinated pfizerbiontech two dosages coronavirus bye bye,Neutral,1
2729,courteous checking by pfizer pfizerbiontech modernatx sinopharm gracious and critical over our below discovery… ,Positive,2
2730,covid vaccination what’s the evidence for extending the dosing interval  bmjlatest ,Neutral,1
2731,obligatory vaccination picture get vaccinated if and when given the opportunity pfizerbiontech ,Positive,2
2732,investigation in norway two people in nursing home die after getting pfizer’s covid vax  survival pfizervaccine… ,Negative,0
2733,an honour and a privilege beaming with pride for the scientific community what an incredible feat to be able star… ,Positive,2
2734,got pfizer  biontech  vaccine today getting it was painless and have not felt any side effects strongly r… ,Positive,2
2735,a genuine smile lies under that mask  proudly completed my  doses of the pfizerbiontech vaccine feeling extreme… ,Positive,2
2736,reassuring info re the risk of anaphylaxis from the pfizerbiontech vaccine  cases per  million doses all pts… ,Positive,2
2737,an unexpectedly emotional moment very privileged to have received this today in awe of the science that got us he… ,Positive,2
2738,got my covidvaccination pfizerbiontech today lets get this done bame nhs ,Neutral,1
2739,no evidence coronavirus vaccine will work if second shot comes too late pfizerbiontech bc… ,Negative,0
2740, dose   coronavirusvaccine pfizervaccine pfizerbiontech  ,Neutral,1
2741,according to israeli news  pfizerbiontech will be delivered to israel earlier in exchange for medical data is t… ,Neutral,1
2742,usa fda statement on following the authorized dosing schedules for covid vaccines  usfda… ,Neutral,1
2743,send the rejected pfizerbiontech vaccine this way there’s plenty who need their second promised dose ,Negative,0
2744,cork university hospital have now vaccinated  of their staff w the  dose over  doses administered… ,Neutral,1
2745, having a slight fever headache or achey muscles after after your pfizerbiontech booster is very common it just… ,Neutral,1
2746,words cannot express this feeling i pray this is the end for lives lost for loved ones who suffered for menta… ,Positive,2
2747,more richlandtwo nurses and athletic trainers get vaccinated against covid  pfizerbiontech nasn… ,Neutral,1
2748,our team are starting to receive their vaccinations against  thanks to the tremendous efforts of… ,Positive,2
2749, year old vaccinated dies after few days pfizervaccine pfizerbiontech ,Neutral,1
2750,i am experiencing a strange post vaccine side effect i have this sense of hope and a strange urge to buy a tesla… ,Positive,2
2751,vaccine differences mixed reality news explainer virtualreality vr mixedreality storyboarding newsproduction… ,Neutral,1
2752,well that felt good joining the ranks of the halfway  pfizerbiontech vaccine club  scienceisawesome… ,Positive,2
2753,feeling so grateful for the hard work of so many people scientists and all the workers at pfizerbiontech… ,Positive,2
2754,stjoseph’s lpn unit manager ursula dunson got her  wecanendthis villa wemakepeoplebetter… ,Neutral,1
2755,danalbas to put it bluntly it will be some time before the vaccine delivery will make a significant impact… ,Positive,2
2756,does anyone feel sorry for biontech  its always pfizer this pfizer that they are like the poor relations als… ,Negative,0
2757,heard today that people are refusing to have the pfizerbiontech vaccine because they want the british one what… ,Negative,0
2758, real testing of covidvaccine  results arecoming soon covaxin covaxintrials pfizerbiontech pfizervaccine,Neutral,1
2759,skynews where are the biontech pfizerbiontech vaccines promised ,Positive,2
2760,from lab to jab under  year amazing science pfizerbiontech thanks ⁦djpbeirne⁩ amp ⁦upmcinireland⁩ ⁦upmc⁩ ⁦… ,Positive,2
2761,what is govuk doing to ensure new  variants are not able to spread more easily if the  jab of the… ,Positive,2
2762,a good illustration on how the pfizerbiontech vaccine works to protect against coronavirus mrna inside an oily… ,Positive,2
2763,i took the  dose of pfizer covid vaccine at  and up to now im still okay just so sleepy cuz i worked nightsh… ,Positive,2
2764,oxfordastrazeneca pfizerbiontech what happens if you have one vaccine as an initial dose then receive the other a… ,Neutral,1
2765,kateleah i see you had the recommended gap of  weeks i had my  one yesterday and have a  week gap mine is a… ,Positive,2
2766, million vaccines by  feb  thats  in next  days so  per day gov currently averaging  a… ,Neutral,1
2767,breaking italian medicines agency aifa approved the use of the moderna vaccine after pfizerbiontech this i… ,Positive,2
2768,ceo of the hse paul reid announced today that  people have received the pfizerbiontech vaccine in the repu… ,Neutral,1
2769,happy vaccination day   pfizer pfizerbiontech,Positive,2
2770,modernavaccine pfizervaccine pfizerbiontech covidvaccine covid coronavirus corona coronavirusstrain… ,Neutral,1
2771,irancoronavirus death toll  maryamrajavikhamenei’s red crescent announced a ban on … ,Negative,0
2772,maryamrajaviiran khamenei’s red crescent announced a ban on the import of  pfizerbiontech vaccinesthi… ,Negative,0
2773,antonioguterres iran khamenei’s ban on the purchase of pfizerbiontech covidvaccines is a… ,Negative,0
2774, khamenei’s red crescent announced a ban on the import of  pfizerbiontech vaccines… ,Negative,0
2775,sitting in the very slow moving line for my covid vaccine patience you must have vaccine pfizerbiontech,Neutral,1
2776,maryamrajaviiran khamenei’s red crescent announced a ban on the import of  pfizerbiontech vaccinesthi… ,Negative,0
2777,fully vaccinated for   thoughts  received pfizerbiontech covidvaccine  dose    h late… ,Neutral,1
2778, khamenei’s red crescent announced a ban on the import of  pfizerbiontech vaccines… ,Negative,0
2779,antonioguterres iran khamenei’s ban on the purchase of pfizerbiontech covidvaccines is a… ,Negative,0
2780,thank you to the vaccination team at circuit lane surgery reading for their well organised mass vaccination progr… ,Positive,2
2781,maryamrajaviiran khamenei’s red crescent announced a ban on the import of  pfizerbiontech vaccinesthi… ,Negative,0
2782,maryamrajaviiran khamenei’s red crescent announced a ban on the import of  pfizerbiontech vaccinesthi… ,Negative,0
2783,maryamrajaviiran khamenei’s red crescent announced a ban on the import of  pfizerbiontech vaccinesthi… ,Negative,0
2784,nevermind the goofy look on my face here is me getting my second pfizer covid vaccine feeling good power breakfa… ,Positive,2
2785,drzerocraic matertrauma maternursing eavanid is féidir linn  love it got my vaccine today too in sivuh cork… ,Positive,2
2786,new info everyday on the covid vaccines where to get them how effective are they in coronavirus  what you nee… ,Positive,2
2787,mr spocks logik ist makellos mr spocks logic is flaweless pfizer pfizerbiontech vaccine impfstoff… ,Neutral,1
2788,did you develop fever after taking the  dose of the  with pfizerbiontech vaccine ,Neutral,1
2789,so yesterday was rough  fatigue headache and chills pfizerbiontech better today so far,Positive,2
2790,so yesterday was rough  fatigue headache and chills pfizerbiontech better today so far,Positive,2
2791,shout out to lily rn who just gave me dose   pfizerbiontech ,Neutral,1
2792,i received the first dose of the pfizerbiontech covid vaccine this morning   ,Neutral,1
2793, and feeling good vaccinessavelives  pfizerbiontech ,Positive,2
2794,breitbartlondon i think they are having the pfizerbiontech vaccine the question is is it any different from the… ,Neutral,1
2795,covid vaccine  pfizer biontech ingredients for you to look at pfizerbiontech covidvaccine ,Neutral,1
2796,first day  drawing up pfizerbiontech vaccine in our pcn ,Neutral,1
2797,dr marc siegel speeding up covid vaccinations — will biden’s reversal of trump policy help or hurt… ,Positive,2
2798,spectatorindex the pope is having the pfizerbiontech vaccine then i wonder if it’s different from the… ,Neutral,1
2799,vacinado contra a covid na sunydownstate com a vacina da pfizer orgulho de fazer parte desse momento na tor… ,Neutral,1
2800,they have tried to save the human race from extinction covidvaccination pfizerbiontech ,Positive,2
2801,meganranney interestingly i had fewer systemic side effects after dose  of pfizerbiontech arm soreness was m… ,Positive,2
2802,fully vaccinated now   pfizerbiontech pfizercovidvaccine vaccineswork vaccineadvocate… ,Neutral,1
2803,well done estuary view whitstable a great days work vaccinations vaccine   health… ,Positive,2
2804, khamenei’s red crescent announced a ban on the import of  pfizerbiontech vaccines… ,Negative,0
2805,antonioguterres iran khamenei’s ban on the purchase of pfizerbiontech covidvaccines is a… ,Negative,0
2806,maryamrajaviiran khamenei’s red crescent announced a ban on the import of  pfizerbiontech vaccinesthi… ,Negative,0
2807,just got the pfizerbiontech vaccine well administered by umichmedicine in umich stadium luxury standsfanfare f… ,Positive,2
2808,anybody thats had the pfizerbiontech covidvaccine how long was your arm sore for,Negative,0
2809,pfizerbiontech get vaccine mixed up with viagra for prince philip and her majesty  hes asking visiting dignitari… ,Neutral,1
2810,chrisshipitv pfizerbiontech i wonder which vaccination centre they went to,Neutral,1
2811,received my seconddose of the covidvaccine emoryhealthcare today pfizerbiontech dosetwo igottheshot… ,Neutral,1
2812,covidvacccine pfizerbiontech i had my vaccine today hopefully we can once again be free from this virus ,Positive,2
2813, covid vaccine dose     dose in  weeks time   vaccine pfizervaccine… ,Neutral,1
2814,i dont care where its the oxfordvaccineastrazeneca or the pfizerbiontech vaccine im just waiting for bill gates vaccine,Negative,0
2815,get vaccinated for yourself for your families for your community for your country for the entire humanity… ,Neutral,1
2816, khamenei’s red crescent announced a ban on the import of  pfizerbiontech vaccines… ,Negative,0
2817,antonioguterres iran khamenei’s ban on the purchase of pfizerbiontech covidvaccines is a… ,Negative,0
2818,a very special day today  received my first dose of the pfizerbiontech vaccine feeling extremely lucky privile… ,Positive,2
2819,واكسنکرونا زندگیمن being an iranian living abroad i feel awkward amp somewhat ashamed that i will have access to… ,Negative,0
2820,jan  i’ll be vaccinated feels like finally seeing the light at the end of the tunnel covid vaccine pfizerbiontech,Positive,2
2821,the queen amp doe’s vaccines were administered by a household doctor at windsor castle bp will not say whether the… ,Neutral,1
2822, thank you  will be amazing to say all our vulnerable amp older people living in care homes have had their f… ,Positive,2
2823,let the choice of vaccine made be rest with citizens pfizerbiontech modernavaccine oxfordvaccine rest all areu know,Neutral,1
2824,skynews i bet they’ll have their follow up jabs within  days pfizerbiontech seconddose ,Neutral,1
2825,piersmorgan nicebut they have not and will not say whether the royal couple were given the oxfordvaccine… ,Neutral,1
2826,a palace source said the vaccines were administered by a household doctor at windsor castle they have not and wil… ,Neutral,1
2827,dubai opens seventh clinic for covid pfizerbiontech vaccine shots ,Neutral,1
2828,today was a great day cuhcork pfizerbiontech vaccine ,Positive,2
2829,smerconish i participated in the vaccine study your body will feel a big difference between the first and second… ,Neutral,1
2830,first dose of pfizerbiontech covid vaccine received  feeling great amp no side effects so far a great end to wha… ,Positive,2
2831,missusryan fergalbowers what was approved was the  dose per vial of pfizerbiontech covidvaccine  its  pe… ,Positive,2
2832,rahmstorf the severe allergic reaction  data you mention refer to one study only the one you cite about … ,Negative,0
2833,my mom was supposed to receive the pfizer biontech vaccine yesterday in france cuz she has an history of allergy … ,Neutral,1
2834,wow what a morning called in with  minutes notice for my covidvacccine at abingtonparkmedicalcentre i was on… ,Positive,2
2835,one week post pfizerbiontech pfizervaccine dose  feel great no ill effects are all only had some arm sorenes… ,Neutral,1
2836,emmakennytv ailsybabe so only had a single dose so  protection if had a second dose  effectiveness so s… ,Neutral,1
2837, khamenei’s red crescent announced a ban on the import of  pfizerbiontech vaccines… ,Negative,0
2838,antonioguterres iran khamenei’s ban on the purchase of pfizerbiontech covidvaccines is a… ,Negative,0
2839,maryamrajaviiran khamenei’s red crescent announced a ban on the import of  pfizerbiontech vaccinesth… ,Negative,0
2840,feeling relieved amp very grateful to receive the first dose of comirnaty pfizerbiontech at sivuh this morning th… ,Positive,2
2841,exciting times pleased and thankful to say that i have had my covid  vaccination thank you nhs hpft aim to ke… ,Positive,2
2842,feeling very lucky to receive my first dose of the pfizerbiontech  vaccine  ,Positive,2
2843, so far holiday cancelled but had my first pfizerbiontech vaccine and on monday  at  we find out… ,Positive,2
2844,delighted pfizerbiontech  vaccine rolled today to child psychiatrists across camhs corkkerrych excellen… ,Positive,2
2845,the uae is on the verge of hitting  doses of the provided vaccines the ministry of health and prevention state… ,Neutral,1
2846,an in vitro study shows pfizerbiontech  vaccine elicits antibodies that neutralize  with a mutat… ,Neutral,1
2847,reasons to inject covid vaccine  genetically modifying human dna genetically engineered vaccines are unpredi… ,Neutral,1
2848,i just got the covidvaccine  coronavirus biontech pfizerbiontech pfizercovidvaccine pfizer ,Neutral,1
2849,potential safety concerns include local and systemic inflammation and negatively impact autoimmunity blood coagula… ,Positive,2
2850,the rna vaccine technology has never been used on humans moderna pfizer biontech and arcturus therapeutics are… ,Neutral,1
2851,littlestourorch yes very good idea  apart from exhaust fumes  but hey it was extremely well organised well done… ,Positive,2
2852,ianstockport  ngps collabnewcastle nikkikf when we got to the start of the staff vaccines asked the… ,Neutral,1
2853,reasons to inject covid vaccine  corporate fasttracking they spiked their placebos with a neurotoxic alumin… ,Neutral,1
2854,just watched a relative getting her second dose of the pfizerbiontech vaccine again quite emotional knowing the… ,Positive,2
2855,getting my vaccine today emotions ranging from excitement to relief huge thanks to absolutely everyone for get… ,Positive,2
2856,wmarybeard my friends mum due to have  pfizercovidvaccine next week  now march  expecting same for my mum… ,Positive,2
2857,dubai opens seventh clinic for covid pfizerbiontech vaccine shots the centrallylocated al safa healthcare cent… ,Neutral,1
2858,turkey reports  new deaths from  turkey drfahrettinkoca coronaviruspandemic pfizerbiontech… ,Neutral,1
2859, adriverster tomgreenfield they asked us to wait for  mins in the car park incase  she had th… ,Neutral,1
2860,anyone care to help me understand why the government says its okay to wait  weeks for myself and colleagues to h… ,Positive,2
2861,thank you to the nhs in wiltshire and the volunteers assisting the medical staff for brilliant organisation at… ,Positive,2
2862, khamenei’s red crescent announced a ban on the import of  pfizerbiontech vaccines… ,Negative,0
2863,antonioguterres iran khamenei’s ban on the purchase of pfizerbiontech covidvaccines is a… ,Negative,0
2864,maryamrajaviiran khamenei’s red crescent announced a ban on the import of  pfizerbiontech vaccinesthi… ,Negative,0
2865, do you blindly trust pfizer cnn bill gates fauci and the biased media monopolies when they tell you the exper… ,Positive,2
2866,we are getting there slowly but surely stay strong everyone keepthefaith covidvaccine pfizerbiontech ,Positive,2
2867,busy bees day  stghnursing peervaccinators the job of the week pfizerbiontech … ,Neutral,1
2868,borisjohnson why is the rollout of the pfizerbiontech vaccine so slow why are care homes and gps cancelling vacc… ,Positive,2
2869,turkey reports  new deaths from  turkey drfahrettinkoca coronaviruspandemic pfizerbiontech… ,Neutral,1
2870,natalieamiri khamenei’s red crescent announced a ban on the import of … ,Negative,0
2871, borisjohnson my father had to queue in freezing conditions for his first vaccination for over an hour… ,Negative,0
2872,natalieamiri antonioguterres iran khamenei’s ban on the purchase of pfizerbiontech covidvaccines is a… ,Negative,0
2873, stevejmayne borisjohnson it’s difficult to see this how does a country like ours get itself into this… ,Neutral,1
2874,iranpanoramanew antonioguterres iran khamenei’s ban on the purchase of pfizerbiontech covidvaccines is a… ,Negative,0
2875,day two post pfizerbiontech vaccine hullhospitals and i have no side effects i feel very well and the slight ac… ,Neutral,1
2876,maryamrajavi maryamrajaviiran khamenei’s red crescent announced a ban on the import of … ,Negative,0
2877,podcast video twiv  does dose matter  this week in virology profvrr … ,Neutral,1
2878,saudi king salman gets the pfizerbiontech vaccine coronavirus ,Neutral,1
2879,question   coronavirus confinement couvrefeu vaccinations vaccins pfizerbiontech moderna oxford… ,Neutral,1
2880,brazilian president jair bolsonaro suggested covid vaccines could turn people into crocodiles or bearded ladies wh… ,Neutral,1
2881,pic of my fluffer so  hours post pfizer covidvaccine had flu symptoms all day low grade temp aches and just g… ,Negative,0
2882, dose  no major symptoms  dose  a bit tougher sore arm and throat low grade fever and chills myalgia an… ,Negative,0
2883,i did this for my family my school and my community pfizerbiontech preexplorers ,Neutral,1
2884,breaking a highly contagious variant of coronavirus has been discovered in united states of america … ,Neutral,1
2885,pfizerbiontech vaccine not affected by mutation seen in uk and southafrica contagious coronavirus variant  st… ,Negative,0
2886,podcast video twiv  does dose matter  this week in virology profvrr … ,Neutral,1
2887,after administration of  first doses of pfizerbiontech  vaccine  of adverse events  cases… ,Negative,0
2888,the pfizerbiontech vaccine or the moderna vaccine stat offers a sidebyside comparison of the two… ,Neutral,1
2889,thanks to the fantastic crew over at sivuh for their professionalism and patience today covidvaccination cork… ,Positive,2
2890,second dose of covid vaccine done pfizerbiontech vaccinated coronavirusvaccine,Neutral,1
2891,thank you scientists pfizerbiontech ,Positive,2
2892,part  of  igottheshot covidvaccine pfizerbiontech ,Neutral,1
2893,pellegrinip zuzanacaputova thumb up andrejbabis now we travel in time you have it shorten in… ,Neutral,1
2894,we still doing vaccine selfies okay good second dose done  thisisourshot righttobarearms pfizerbiontech… ,Positive,2
2895,update early evidence suggests that the pfizerbiontech vaccine will protect against a more contagious variant of… ,Neutral,1
2896,got my first jab today  science research medicine pfizerbiontech covidvaccine vaccines savelives… ,Neutral,1
2897,thank you pfizerbiontech thank you hseireland hopefully  will be a good one get vaccinated protect yours… ,Positive,2
2898,so grateful for the opportunity to be vaccinated and help vaccinate with fultonhealth at mbstadium today … ,Positive,2
2899,preliminary studies show pfizerbiontech vaccine will work against the ukstrain,Neutral,1
2900,patphelan i’ve heard that some younger female nurses inmoirl are refusing to take the vaccine because of fears t… ,Negative,0
2901,science is the most real guide for civilisation for life for success in the world to search for a guide other t… ,Positive,2
2902, theeconomist this is what i’m worried about the administration of different vaccines for different… ,Negative,0
2903,lets go people needles in arms asap  mrnavaccine vaccination astrazeneca moderna pfizerbiontech ,Neutral,1
2904,delighted to get the pfizerbiontech covidvaccine which feels like the start of the end of a long long slog brill… ,Positive,2
2905,people with a history of severe allergic reaction to any component of the vaccine should not take pfizerbiontech c… ,Negative,0
2906,i got an appointment for my covid vaccine on monday whoop whoop  thank you wonderful msehospitals… ,Positive,2
2907,in  we were worried about absence of mrna vaccine as a challenge warning for global pandemic outbreak we have… ,Negative,0
2908,mycovidvax  dose pfizerbiontech  livestream image of  dose recruiting antibodies to my  fightin… ,Neutral,1
2909,the best day ever residents and staff at curraghhome received the pfizer biontech vaccine yesterday first nh in… ,Positive,2
2910,a good friend who is a peds hemeonc doc made these for me shes got mad crafting skills and is an awesome momlad… ,Positive,2
2911,thank you to hselive pfizerireland connollynursing and all who made this happen dose one of the… ,Positive,2
2912,i work in a skilled nursing facility and just got my first vaccine so far it was less painful than the flu vaccin… ,Negative,0
2913,regarding the prolonged interval between doses of pfizerbiontech vaccine ,Neutral,1
2914,whos strategic advisory group of experts on immunisation issued recommendations that the interval between administ… ,Neutral,1
2915,vaccination complete best birthday present one could ask for  pfizerbiontech covidout amcollegegastro ,Positive,2
2916,just completed vaccination  dose   dose  pfizerbiontech,Neutral,1
2917,today i received my second dose of pfizer  vaccine thank you i feel great pfizerbiontech pfizervaccine ,Positive,2
2918,thanks icgpnews faculty sivuh amp hselive a very efficient pfizerbiontech vaccine programme  dose for front l… ,Positive,2
2919,trudeau confident canada will have enough vaccine for all by september he said ottawa is on track to deliver abou… ,Positive,2
2920,who drtedros you endorse pfizerbiontech being given improperly shame on you for not following guidelines set by… ,Negative,0
2921,alhamdullilah what a privilege to be able to protect myself and others around me  vaccineswork pfizerbiontech ,Positive,2
2922,what a great start to   thank you to connollynursing hscpconnolly elaineadunne and all the vaccine team … ,Positive,2
2923,turkey reports  new deaths from  turkey drfahrettinkoca coronaviruspandemic pfizerbiontech… ,Neutral,1
2924,peppe got vaccinated be like peppe for once   pfizerbiontech letsvaccinateitaly ,Positive,2
2925,thanks to science i received the jab today grateful excited pfizerbiontech science newbeginnings erasmusmc… ,Positive,2
2926,stop covid stopcovid pfizerbiontech ,Negative,0
2927, got my  dose of  vaccine  pfizerbiontech ,Neutral,1
2928,vaccinated so grateful to finally see a light at the end of the tunnel  pfizerbiontech vaccineswork… ,Positive,2
2929,iran bans  vaccines from uk us  the supreme leader’s order scraps the plan to import  doses of… ,Positive,2
2930,thank you science i’ll forgive you for the dead arm pfizerbiontech getvaccinated ,Negative,0
2931,ruthdavidsonmsp will you apply pressure to the jcvi and the uk cmos to reverse the decision of withholding  d… ,Negative,0
2932,feeling so lucky to be on my way to covid immunity  covidvaccination pfizerbiontech ,Positive,2
2933, astonpharmacy  i think a visit to is in order ive inspired… ,Neutral,1
2934,a little bright light for an otherwise dark week thanks yalemed researchers and frontline workers onwards… ,Positive,2
2935,first covid vaccine at work today one step closer to seeing my family and the hugs to commence we can do this… ,Positive,2
2936,pfizerbiontech vaccine appears efffective against the new mutation of  protein s  and  othe… ,Neutral,1
2937,after having no side effects from the first dose here i am full of hope and trust again for round  of… ,Positive,2
2938,khameneiir the vaccine reduces the prevalence is used for prevention  but does not cure vaccine… ,Neutral,1
2939,birminghamlive had our pfizer jabs yesterday and feel fine  please get vaccinated when offered it could save you… ,Positive,2
2940,ive had my covidvaccine thank you nhsuhcw for a very efficient service today  pfizerbiontech ,Positive,2
2941,great excitement and relief as our vaccination team prepared amp administered vaccines to frontline staff members… ,Positive,2
2942,   pandemia encefalomielosis trumpvaccine pfizerbiontech manmade… ,Neutral,1
2943,no adverse affects at all from the vaccine my arm is a bit sore as you’d expect from any injection i feel a bit… ,Negative,0
